"filename", "language", "pip requirements", "Python", "TypeScript", "Ignore", "Docker", "TypeScript JSX", "SCSS", "CSS", "JSON", "HTML", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\pd22\backend\authentication\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pd22\backend\authentication\admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\pd22\backend\authentication\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\pd22\backend\authentication\authentication.py", "Python", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 99
"d:\pd22\backend\authentication\middleware.py", "Python", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 108
"d:\pd22\backend\authentication\migrations\0001_initial.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 47
"d:\pd22\backend\authentication\migrations\0002_passwordresettoken.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"d:\pd22\backend\authentication\migrations\0003_tag_user_avatar_article_comment_favoritearticle_and_more.py", "Python", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 72
"d:\pd22\backend\authentication\migrations\0004_user_avatar_base64_user_avatar_content_type.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 74
"d:\pd22\backend\authentication\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pd22\backend\authentication\models.py", "Python", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 98
"d:\pd22\backend\authentication\serializers.py", "Python", 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 307
"d:\pd22\backend\authentication\tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\pd22\backend\authentication\urls.py", "Python", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 114
"d:\pd22\backend\authentication\views.py", "Python", 0, 647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 133, 840
"d:\pd22\backend\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pd22\backend\backend\asgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\pd22\backend\backend\settings.py", "Python", 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 57, 344
"d:\pd22\backend\backend\urls.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 33
"d:\pd22\backend\backend\wsgi.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"d:\pd22\backend\manage.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\pd22\backend\password_reset\urls.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\pd22\backend\password_reset\views.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 29, 160
"d:\pd22\backend\requirements.txt", "pip requirements", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"d:\pd22\backend\test_base64_conversion.py", "Python", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 80
"d:\pd22\only-frontend\.dockerignore", "Ignore", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\pd22\only-frontend\Dockerfile", "Docker", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23
"d:\pd22\only-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\pd22\only-frontend\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\pd22\only-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 2597, 0, 0, 0, 0, 1, 2598
"d:\pd22\only-frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"d:\pd22\only-frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 12, 74
"d:\pd22\only-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"d:\pd22\only-frontend\src\api\auth.ts", "TypeScript", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30, 181
"d:\pd22\only-frontend\src\components\AppRouter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\pd22\only-frontend\src\components\ArticleImage\ArticleImage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"d:\pd22\only-frontend\src\components\ArticleImage\ArticleImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 8, 69
"d:\pd22\only-frontend\src\components\Article\Article.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 35, 226
"d:\pd22\only-frontend\src\components\Article\Article.scss", "SCSS", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 13, 82
"d:\pd22\only-frontend\src\components\Article\Article.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\pd22\only-frontend\src\components\Auth\Auth.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 17, 124
"d:\pd22\only-frontend\src\components\Auth\AuthForms.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 16, 105
"d:\pd22\only-frontend\src\components\Auth\AuthLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"d:\pd22\only-frontend\src\components\Auth\AuthLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\pd22\only-frontend\src\components\Auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 5, 67
"d:\pd22\only-frontend\src\components\Auth\PasswordResetForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 11, 137
"d:\pd22\only-frontend\src\components\Auth\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 7, 30
"d:\pd22\only-frontend\src\components\Auth\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 6, 122
